link,song,group
https://www.lyrics.com/lyric/26847268/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/28398156/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/25615771/Alicia+Keys/No+One,No One,Alicia Keys
https://www.lyrics.com/lyric/28779841/Alicia+Keys/Girl+on+Fire,Girl on Fire,Alicia Keys
https://www.lyrics.com/lyric/28691259/Alicia+Keys/Girl+on+Fire,Girl on Fire,Alicia Keys
https://www.lyrics.com/lyric/22925484/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/24041889/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/22967723/Alicia+Keys/Try+Sleeping+with+a+Broken+Heart,Try Sleeping with a Broken Heart,Alicia Keys
https://www.lyrics.com/lyric/22389980/Alicia+Keys/My+Boo+%5BF%5D,My Boo [F],Alicia Keys
https://www.lyrics.com/lyric/23812026/Alicia+Keys/You+Don%27t+Know+My+Name,You Don't Know My Name,Alicia Keys
https://www.lyrics.com/lyric/25545545/Alicia+Keys/Looking+For+Paradise,Looking For Paradise,Alicia Keys
https://www.lyrics.com/lyric/25545501/Alicia+Keys/Looking+For+Paradise+%5BVideo%5D,Looking For Paradise [Video],Alicia Keys
https://www.lyrics.com/lyric/30306077/Alicia+Keys/Looking+for+paradise,Looking for paradise,Alicia Keys
https://www.lyrics.com/lyric/24881921/Alicia+Keys/Doesn%27t+Mean+Anything,Doesn't Mean Anything,Alicia Keys
https://www.lyrics.com/lyric/23105241/Alicia+Keys/Unthinkable+%28I%27m+Ready%29,Unthinkable (I'm Ready),Alicia Keys
https://www.lyrics.com/lyric/23347743/Alicia+Keys/Try+Sleeping+with+a+Broken+Heart,Try Sleeping with a Broken Heart,Alicia Keys
https://www.lyrics.com/lyric/22893401/Alicia+Keys/No+One,No One,Alicia Keys
https://www.lyrics.com/lyric/25654455/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/25031080/Alicia+Keys/If+I+Ain%27t+Got+You,If I Ain't Got You,Alicia Keys
https://www.lyrics.com/lyric/23793300/Alicia+Keys/If+I+Ain%27t+Got+You,If I Ain't Got You,Alicia Keys
https://www.lyrics.com/lyric/24692003/Alicia+Keys/A+Woman%27s+Worth,A Woman's Worth,Alicia Keys
https://www.lyrics.com/lyric/23384032/Alicia+Keys/Un-Thinkable+%28I%27m+Ready%29,Un-Thinkable (I'm Ready),Alicia Keys
https://www.lyrics.com/lyric/24345418/Alicia+Keys/A+Woman%27s+Worth,A Woman's Worth,Alicia Keys
https://www.lyrics.com/lyric/24836099/Alicia+Keys/Empire+State+of+Mind%2C+Pt.+2,"Empire State of Mind, Pt. 2",Alicia Keys
https://www.lyrics.com/lyric/22706494/Alicia+Keys/Empire+State+of+Mind%2C+Pt.+2%3A+Broken+Down,"Empire State of Mind, Pt. 2: Broken Down",Alicia Keys
https://www.lyrics.com/lyric/22321713/Alicia+Keys/Run+This+Town,Run This Town,Alicia Keys
https://www.lyrics.com/lyric/24279605/Alicia+Keys/Empire+State+of+Mind+%28Part+Ii%29+%28Broken+Down%29,Empire State of Mind (Part Ii) (Broken Down),Alicia Keys
https://www.lyrics.com/lyric/20914494/Alicia+Keys/Empire+State+of+Mind%2C+Pt.+2%3A+Broken+Down,"Empire State of Mind, Pt. 2: Broken Down",Alicia Keys
https://www.lyrics.com/lyric/24579083/Alicia+Keys/Empire+State+Of+Mind%2C+Pt.+2%3A+Broken+Down,"Empire State Of Mind, Pt. 2: Broken Down",Alicia Keys
https://www.lyrics.com/lyric/22142590/Alicia+Keys/Doesn%27t+Mean+Anything,Doesn't Mean Anything,Alicia Keys
https://www.lyrics.com/lyric/21081500/Alicia+Keys/Try+Sleeping+with+a+Broken+Heart,Try Sleeping with a Broken Heart,Alicia Keys
https://www.lyrics.com/lyric/22746837/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/21080463/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/29135276/Alicia+Keys/If+I+Ain%27t+Got+You,If I Ain't Got You,Alicia Keys
https://www.lyrics.com/lyric/18913695/Alicia+Keys/Doesn%27t+Mean+Anything,Doesn't Mean Anything,Alicia Keys
https://www.lyrics.com/lyric/20960572/Alicia+Keys/Empire+State+of+Mind,Empire State of Mind,Alicia Keys
https://www.lyrics.com/lyric/18714157/Alicia+Keys/No+One,No One,Alicia Keys
https://www.lyrics.com/lyric/21066969/Alicia+Keys/Empire+State+of+Mind%2C+Pt.+2%3A+Broken+Down,"Empire State of Mind, Pt. 2: Broken Down",Alicia Keys
https://www.lyrics.com/lyric/20881492/Alicia+Keys/Try+Sleeping+with+a+Broken+Heart,Try Sleeping with a Broken Heart,Alicia Keys
https://www.lyrics.com/lyric/19809831/Alicia+Keys/Teenage+Love+Affair,Teenage Love Affair,Alicia Keys
